study_id,version,data_new_shared,data_new_denom,data_reuse_shared,data_reuse_denom,code_new_shared,code_new_denom,software_reuse_shared,software_reuse_denom,materials_new_shared,materials_new_denom,materials_reuse_shared,materials_reuse_denom,protocol_shared,protocol_denom
1,first_version,0,7,0,0,0,0,0,5,0,0,9,20,0,6
1,published,7,7,0,0,0,0,5,5,3,3,23,23,10,10
2,first_version,0,4,0,0,0,1,0,11,0,6,36,49,0,14
2,published,0,4,0,0,0,1,0,11,0,6,36,49,0,14
3,first_version,0,6,2,3,0,1,0,14,0,1,0,10,0,6
3,published,1,6,2,3,0,1,0,14,0,1,0,10,0,6
4,first_version,0,3,0,0,0,1,0,4,0,1,0,25,0,3
4,published,0,3,0,0,0,1,0,4,0,1,0,25,0,3
5,first_version,0,0,4,4,0,1,0,2,0,0,0,0,0,0
5,published,0,0,4,4,0,1,0,2,0,0,0,0,0,0
6,first_version,2,11,2,4,6,6,6,20,0,1,7,11,5,7
6,published,11,11,3,3,6,9,8,25,0,0,11,11,7,7
7,first_version,3,3,0,0,1,1,8,8,0,0,19,20,2,3
7,published,4,4,0,0,1,1,8,8,0,0,19,19,3,3
8,first_version,2,14,1,1,0,1,4,11,0,0,13,18,11,11
8,published,13,13,1,1,1,1,16,16,1,1,22,22,15,15
9,first_version,7,7,0,0,0,0,3,3,0,6,39,43,8,12
9,published,8,8,0,0,0,0,3,5,4,4,65,65,13,13
10,first_version,2,2,0,0,0,0,2,3,0,0,7,7,3,3
10,published,4,4,0,0,0,0,4,4,0,0,14,14,5,5
11,first_version,0,9,1,2,0,2,0,9,0,0,0,3,1,13
11,published,3,8,2,2,0,2,0,12,0,0,0,1,0,6
12,first_version,0,2,0,1,0,0,2,5,0,0,3,12,3,5
12,published,3,3,1,2,0,0,6,6,0,0,3,12,7,7
13,first_version,0,2,1,1,0,1,0,10,0,1,0,2,0,1
13,published,3,3,1,1,1,2,0,11,0,0,3,3,0,1
14,first_version,2,4,5,5,0,4,1,15,0,0,0,11,2,8
14,published,5,5,7,7,0,0,14,16,0,0,17,17,4,4
15,first_version,10,10,2,2,0,2,10,10,1,9,19,24,8,8
15,published,8,8,2,2,1,1,10,12,10,10,25,25,8,8
16,first_version,0,12,1,1,0,0,1,5,0,0,0,21,1,14
16,published,14,14,2,2,0,0,9,9,9,9,39,41,14,14
17,first_version,0,7,0,0,0,1,1,6,0,0,64,75,14,14
17,published,12,12,0,0,1,1,10,13,6,6,82,82,16,18
18,first_version,1,1,13,18,0,3,12,20,0,0,0,0,0,0
18,published,0,0,16,20,3,3,26,28,0,0,0,0,0,0
19,first_version,0,4,12,12,0,4,10,26,0,0,3,29,3,13
19,published,4,14,9,12,1,6,30,39,0,1,2,27,7,13
20,first_version,3,3,12,12,1,1,0,15,0,0,0,0,0,0
20,published,0,0,18,18,8,8,19,20,0,0,0,0,0,0
21,first_version,0,4,0,0,0,0,1,2,0,0,14,22,0,9
21,published,4,4,0,0,0,0,2,2,0,2,25,28,12,12
