study_id,version,data_new_shared,data_new_denom,data_reuse_shared,data_reuse_denom,code_new_shared,code_new_denom,software_reuse_shared,software_reuse_denom,materials_new_shared,materials_new_denom,materials_reuse_shared,materials_reuse_denom,protocol_shared,protocol_denom,data_new_perc,data_reuse_perc,code_new_perc,software_reuse_perc,materials_new_perc,materials_reuse_perc,protocol_perc
1,first_version,0,7,0,0,0,0,0,5,0,0,9,20,0,6,0,NaN,NaN,0,NaN,0.45,0
1,published,7,7,0,0,0,0,5,5,3,3,23,23,10,10,1,NaN,NaN,1,1,1,1
2,first_version,0,4,0,0,0,1,0,11,0,6,36,49,0,14,0,NaN,0,0,0,0.73,0
2,published,0,4,0,0,0,1,0,11,0,6,36,49,0,14,0,NaN,0,0,0,0.73,0
3,first_version,0,6,2,3,0,1,0,14,0,1,0,10,0,6,0,0.67,0,0,0,0,0
3,published,1,6,2,3,0,1,0,14,0,1,0,10,0,6,0.17,0.67,0,0,0,0,0
4,first_version,0,3,0,0,0,1,0,4,0,1,0,25,0,3,0,NaN,0,0,0,0,0
4,published,0,3,0,0,0,1,0,4,0,1,0,25,0,3,0,NaN,0,0,0,0,0
5,first_version,0,0,4,4,0,1,0,2,0,0,0,0,0,0,NaN,1,0,0,NaN,NaN,NaN
5,published,0,0,4,4,0,1,0,2,0,0,0,0,0,0,NaN,1,0,0,NaN,NaN,NaN
6,first_version,2,11,2,4,6,6,6,20,0,1,7,11,5,7,0.18,0.5,1,0.3,0,0.64,0.71
6,published,11,11,3,3,6,9,8,25,0,0,11,11,7,7,1,1,0.67,0.32,NaN,1,1
7,first_version,3,3,0,0,1,1,8,8,0,0,19,20,2,3,1,NaN,1,1,NaN,0.95,0.67
7,published,4,4,0,0,1,1,8,8,0,0,19,19,3,3,1,NaN,1,1,NaN,1,1
8,first_version,2,14,1,1,0,1,4,11,0,0,13,18,11,11,0.14,1,0,0.36,NaN,0.72,1
8,published,13,13,1,1,1,1,16,16,1,1,22,22,15,15,1,1,1,1,1,1,1
9,first_version,7,7,0,0,0,0,3,3,0,6,39,43,8,12,1,NaN,NaN,1,0,0.91,0.67
9,published,8,8,0,0,0,0,3,5,4,4,65,65,13,13,1,NaN,NaN,0.6,1,1,1
10,first_version,2,2,0,0,0,0,2,3,0,0,7,7,3,3,1,NaN,NaN,0.67,NaN,1,1
10,published,4,4,0,0,0,0,4,4,0,0,14,14,5,5,1,NaN,NaN,1,NaN,1,1
11,first_version,0,9,1,2,0,2,0,9,0,0,0,3,1,13,0,0.5,0,0,NaN,0,0.08
11,published,3,8,2,2,0,2,0,12,0,0,0,1,0,6,0.38,1,0,0,NaN,0,0
12,first_version,0,2,0,1,0,0,2,5,0,0,3,12,3,5,0,0,NaN,0.4,NaN,0.25,0.6
12,published,3,3,1,2,0,0,6,6,0,0,3,12,7,7,1,0.5,NaN,1,NaN,0.25,1
13,first_version,0,2,1,1,0,1,0,10,0,1,0,2,0,1,0,1,0,0,0,0,0
